"artist_id","stagename","genre","label","origin"
1,"The Weeknd","R&B","Republic","CAN"
2,"Beck","Alternative","Interscope","USA"
3,"Kanye West","Hip-Hop/Rap","Def Jam","USA"
4,"Dua Lipa","Pop","Warner","UK"
5,"Bruno Mars","Pop","Atlantic","USA"
6,"Lady Gaga","Pop","Interscope","USA"
7,"Drake","Hip-Hop/Rap","Republic","CAN"
8,"Miley Cyrus","Pop","Columbia","USA"
9,"Kid Cudi","Hip-Hop/Rap","Republic","USA"
10,"Kendrick Lamar","Hip-Hop/Rap","Interscope","USA"
11,"Katy Perry","Pop","Capitol","USA"
12,"Post Malone","Hip-Hop/Rap","Republic","USA"
13,"Linkin Park","Alternative Rock","Warner","USA"
14,"Travis Scott","Hip-Hop/Rap","Epic","USA"
15,"Lily Allen","Pop","Independent","UK"
16,"Coldplay","Alternative Rock","Warner","UK"
17,"Selena Gomez","Pop","Interscope","USA"
19,"Mac Miller","Hip-Hop/Rap","Warner","USA"
20,"J Balvin","Reggae","Universal","COL"
18,"Michael Jackson","Pop","Epic","USA"
21,"Niall Horan","Pop","Capitol","IRE"
22,"Charles Perry","Pop","Independent","USA"
23,"LMFAO","Pop","Interscope","USA"
24,"Pharrell Williams","Pop","Columbia","USA"
25,"Rick Astley","Pop","RCA","UK"
26,"Mario","R&B","J Records","USA"
27,"USHER","Pop","RCA","USA"
28,"f(x)","K-Pop","SM","KOR"
29,"BIGBANG","K-Pop","YG","KOR"
30,"T-ara","K-Pop","MBK","KOR"
31,"David Guetta","Electronic","Parlophone","FR"
